nota;grupo;codigo;esforco;prioridade;habilidades;prazo
9101944561;EXTREDBT;INRU;164;0;VAR;10080
9101944562;EXTREDBT;INRU;100;0;VAR;10080
9101944563;EXTREDBT;INRU;92;0;VAR;10080
9101944564;EXTREDBT;INRU;92;0;VAR;10080
9101944565;EXTREDBT;INRU;524;0;VAR;10080
9101944566;EXTREDBT;INRU;308;0;VAR;10080
9101944567;EXTREDBT;INRU;100;0;VAR;10080
9101944568;EXTREDBT;INRU;92;0;VAR;10080
9101944569;EXTREDBT;INRU;56;0;VAR;10080
9101944570;EXTREDBT;INRU;56;0;VAR;10080
9101944571;EXTREDBT;INRU;128;0;VAR;10080
9101944572;EXTREDBT;INRU;1244;0;VAR;10080
9101944573;EXTREDBT;INRU;92;0;VAR;10080
9101944574;EXTREDBT;INRU;100;0;VAR;10080
9101944575;EXTREDBT;INRU;272;0;VAR;10080
9101944576;EXTREDBT;INRU;128;0;VAR;10080
9101944577;EXTREDBT;INRU;100;0;VAR;10080
9101944578;EXTREDBT;INRU;1280;0;VAR;10080
9101944579;EXTREDBT;INRU;236;0;VAR;10080
9101944580;EXTREDBT;INRU;56;0;VAR;10080
9101944581;EXTREDBT;INRU;56;0;VAR;10080
9101944582;EXTREDBT;INRU;100;0;VAR;10080
9101944583;EXTREDBT;INRU;56;0;VAR;10080
9101944584;EXTREDBT;INRU;92;0;VAR;10080
9101944585;EXTREDBT;INRU;200;0;VAR;11520
9101944586;EXTREDBT;INRU;128;0;VAR;11520
9101944587;EXTREDBT;INRU;100;0;VAR;11520
9101944588;EXTREDBT;INRU;100;0;VAR;11520
9101944589;EXTREDBT;INRU;92;0;VAR;11520
9101944590;EXTREDBT;INRU;92;0;VAR;11520
9101944591;EXTREDBT;INRU;128;0;VAR;11520
9101944592;EXTREDBT;INRU;92;0;VAR;11520
9101944593;EXTREDBT;INRU;92;0;VAR;11520
9101944594;EXTREDBT;INRU;100;0;VAR;11520
9101944595;EXTREDBT;INRU;164;0;VAR;11520
9101944596;EXTREDBT;INRU;100;0;VAR;11520
9101944597;EXTREDBT;INRU;100;0;VAR;11520
9101944598;EXTREDBT;INRU;200;0;VAR;11520
9101944599;EXTREDBT;INRU;92;0;VAR;10080
9101944600;EXTREDBT;INRU;380;0;VAR;10080
9101944601;EXTREDBT;INRU;524;0;VAR;10080
9101944602;EXTREDBT;INRU;100;0;VAR;10080
9101944603;EXTREDBT;INRU;128;0;VAR;10080
9101944604;EXTREDBT;INRU;92;0;VAR;10080
9101944605;EXTREDBT;INRU;1100;0;VAR;10080
9101944606;EXTREDBT;INRU;416;0;VAR;10080
9101944607;EXTREDBT;INRU;416;0;VAR;10080
9101944608;EXTREDBT;INRU;128;0;VAR;10080
9101944609;EXTREDBT;INRU;92;0;VAR;10080
9101944610;EXTREDBT;INRU;100;0;VAR;11520
9101944611;EXTREDBT;INRU;128;0;VAR;11520
9101944612;EXTREDBT;INRU;524;0;VAR;11520
9101944613;EXTREDBT;INRU;92;0;VAR;11520
9101944614;EXTREDBT;INRU;128;0;VAR;11520
9101944615;EXTREDBT;INRU;56;0;VAR;10080
9101944616;EXTREDBT;INRU;524;0;VAR;10080
9101944617;EXTREDBT;INRU;164;0;VAR;10080
9101944618;EXTREDBT;INRU;56;0;VAR;10080
9101944619;EXTREDBT;INRU;100;0;VAR;5760
9101944620;EXTREDBT;INRU;56;0;VAR;5760
9101944621;EXTREDBT;INRU;56;0;VAR;5760
9101944622;EXTREDBT;INRU;56;0;VAR;5760
9101944623;EXTREDBT;INRU;56;0;VAR;5760
9101944624;EXTREDBT;INRU;524;0;VAR;5760
9101944625;EXTREDBT;INRU;56;0;VAR;5760
9101944626;EXTREDBT;INRU;344;0;VAR;5760
9101944627;EXTREDBT;INRU;128;0;VAR;5760
9101944628;EXTREDBT;INRU;200;0;VAR;5760
9101944629;EXTREDBT;INRU;100;0;VAR;5760
9101944630;EXTREDBT;INRU;164;0;VAR;5760
9101944631;EXTREDBT;INRU;92;0;VAR;5760
9101944632;EXTREDBT;INRU;100;0;VAR;5760
9101944633;EXTREDBT;INRU;56;0;VAR;5760
9101944634;EXTREDBT;INRU;100;0;VAR;5760
9101944635;EXTREDBT;INRU;200;0;VAR;5760
9101944636;EXTREDBT;INRU;56;0;VAR;5760
9101944637;EXTREDBT;INRU;100;0;VAR;5760
9101944638;EXTREDBT;INRU;100;0;VAR;5760
9101944639;EXTREDBT;INRU;632;0;VAR;5760
9101944640;EXTREDBT;INRU;56;0;VAR;5760
9101944641;EXTREDBT;INRU;236;0;VAR;5760
9101944642;EXTREDBT;INRU;128;0;VAR;5760
9101944643;EXTREDBT;INRU;100;0;VAR;5760
9101944644;EXTREDBT;INRU;92;0;VAR;5760
9101944645;EXTREDBT;INRU;92;0;VAR;5760
9101944646;EXTREDBT;INRU;56;0;VAR;5760
9101944647;EXTREDBT;INRU;92;0;VAR;5760
9101944648;EXTREDBT;INRU;128;0;VAR;5760
9101944649;EXTREDBT;INRU;128;0;VAR;5760
9101944650;EXTREDBT;INRU;128;0;VAR;5760
9101944651;EXTREDBT;INRU;308;0;VAR;5760
9101944652;EXTREDBT;INRU;128;0;VAR;10080
9101944653;EXTREDBT;INRU;308;0;VAR;10080
9101944654;EXTREDBT;INRU;200;0;VAR;10080
9101944655;EXTREDBT;INRU;200;0;VAR;10080
9101944656;EXTREDBT;INRU;488;0;VAR;10080
9101944657;EXTREDBT;INRU;100;0;VAR;10080
9101944658;EXTREDBT;INRU;272;0;VAR;10080
9101944659;EXTREDBT;INRU;92;0;VAR;10080
9101944660;EXTREDBT;INRU;704;0;VAR;10080
9101944661;EXTREDBT;INRU;92;0;VAR;10080
9101944662;EXTREDBT;INRU;56;0;VAR;10080
9101944663;EXTREDBT;INRU;56;0;VAR;10080
9101944664;EXTREDBT;INRU;92;0;VAR;10080
9101944665;EXTREDBT;INRU;236;0;VAR;10080
9101944666;EXTREDBT;INRU;56;0;VAR;5760
9101944667;EXTREDBT;INRU;560;0;VAR;5760
9101944668;EXTREDBT;INRU;100;0;VAR;5760
9101944669;EXTREDBT;INRU;100;0;VAR;5760
9101944670;EXTREDBT;INRU;56;0;VAR;5760
9101944671;EXTREDBT;INRU;164;0;VAR;5760
9101944672;EXTREDBT;INRU;100;0;VAR;5760
9101944673;EXTREDBT;INRU;92;0;VAR;10080
9101944674;EXTREDBT;INRU;100;0;VAR;10080
9101944675;EXTREDBT;INRU;668;0;VAR;10080
9101944676;EXTREDBT;INRU;56;0;VAR;10080
9101944677;EXTREDBT;INRU;416;0;VAR;10080
9101944678;EXTREDBT;INRU;100;0;VAR;10080
9101944679;EXTREDBT;INRU;100;0;VAR;10080
9101944680;EXTREDBT;INRU;992;0;VAR;10080
9101944681;EXTREDBT;INRU;128;0;VAR;11520
9101944682;EXTREDBT;INRU;92;0;VAR;11520
9101944683;EXTREDBT;INRU;128;0;VAR;11520
9101944684;EXTREDBT;INRU;56;0;VAR;11520
9101944685;EXTREDBT;INRU;100;0;VAR;11520
9101944686;EXTREDBT;INRU;128;0;VAR;11520
9101944687;EXTREDBT;INRU;668;0;VAR;11520
9101944688;EXTREDBT;INRU;56;0;VAR;11520
9101944689;EXTREDBT;INRU;164;0;VAR;11520
9101944690;EXTREDBT;INRU;200;0;VAR;11520
9101944691;EXTREDBT;INRU;416;0;VAR;11520
9101944692;EXTREDBT;INRU;100;0;VAR;11520
9101944693;EXTREDBT;INRU;56;0;VAR;11520
9101944694;EXTREDBT;INRU;56;0;VAR;11520
9101944695;EXTREDBT;INRU;200;0;VAR;11520
